time_s,target_x,target_y,target_z,ee_x,ee_y,ee_z,obstacle1_x,obstacle1_y,obstacle1_z,obstacle2_x,obstacle2_y,obstacle2_z,tracking_error_m,min_safety_margin_m,cbf_torque_correction_nm
0.0,0.40940694626935253,5.281993046218848e-07,0.32385075965736687,0.40940694626935253,5.281993046218848e-07,0.32385075965736687,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.0,0.14499999999829694,0.0
0.01,0.40965494468050223,0.00016852755418536507,0.3240407578283055,0.4094092088858815,3.822261154977935e-06,0.32385532169164577,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.00034914248536863736,0.14500011747165453,0.0
0.02,0.40990293355862356,0.0003365230383684035,0.3242307450250026,0.4094207939346875,1.8904951663861912e-05,0.32387676993751663,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.0006772283429772861,0.14500072925065355,0.0
0.03,0.4101509033710546,0.0005045107812452134,0.32442071027385044,0.4094442111208899,4.702043331526921e-05,0.3239167195488943,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.000981181943236681,0.14500196041796742,0.0
0.04,0.41039884458586623,0.0006724869123856297,0.3246106426025092,0.40947998513385064,8.749233931361034e-05,0.3239735820400988,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.0012618904482009426,0.14500380828268844,0.0
0.05,0.4106467476722287,0.0008404475616270221,0.3248005310405403,0.4095279670180162,0.00013925498530594795,0.32404525564199466,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.00152111212899517,0.14500623142335245,0.0
0.06,0.4108946031007779,0.001008388859163462,0.32499036462004033,0.40958772587425796,0.00020120014889387055,0.3241297048806627,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.0017607432766217758,0.14500917878135178,0.0
0.07,0.4111424013439817,0.0011763069356348832,0.3251801323762746,0.40965871015033717,0.00027228382113777286,0.324225114988138,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.001982588096727778,0.14501259948014422,0.0
0.08,0.41139013287650616,0.0013441979222162314,0.32536982334831016,0.4097403213210923,0.0003515548254786559,0.32432991552898754,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.0021882931153221355,0.14501644593044427,0.0
0.09,0.4116377881755816,0.0015120579507066037,0.3255594265796493,0.4098319497541227,0.0004381571348570103,0.32444276226469865,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.002379339101301858,0.14502067460753265,0.0
0.1,0.41188535772136886,0.0016798831536183694,0.325748931118862,0.409932993127492,0.0005313238471421136,0.3245625084001251,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.002557051985285442,0.1450252460413317,0.0
0.11,0.4121328319973251,0.0018476696642662765,0.3259383260202189,0.410042866261668,0.0006303690117598919,0.32468817583695675,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.0027226188009935176,0.14503012455743747,0.0
0.12,0.4123802014905696,0.002015413616856542,0.326127600344323,0.4101610064372322,0.0007346793829221291,0.3248189295933183,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.0028771037515640343,0.1450352779549925,0.0
0.13,0.41262745669224954,0.00218311114657592,0.326316743158742,0.4102868761861709,0.0008437067439657552,0.324954055930532,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.0030214628478757648,0.14504067718404967,0.0
0.14,0.41287458809790534,0.002350758389680743,0.32650574353863954,0.41041996459229724,0.0009569609578188511,0.3250929438961371,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.003156556773638593,0.1450462960422756,0.0
0.15,0.4131215862078363,0.002518351483585946,0.3266945905674063,0.41055978767540957,0.0010740037370734457,0.3252350697948134,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.0032831620458377486,0.14505211089616543,0.0
0.16,0.4133684415274654,0.00268588656695406,0.3268832733372903,0.4107058881965192,0.001194443078654043,0.32537998410963354,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.0034019806614550134,0.14505810042701595,0.0
0.17,0.41361514456770454,0.0028533597797841745,0.3270717809500272,0.4108578350918058,0.0013179282977393762,0.3255273004626003,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.0035136484397244034,0.14506424540034968,0.0
0.18,0.41386168584531935,0.0030207672635008745,0.3272601025174698,0.41101522266816504,0.0014441455975413814,0.3256766862748157,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.0036187422530444243,0.1450705284570577,0.0
0.19,0.41410805588329336,0.003188105161043142,0.3274482271622166,0.4111776696480728,0.00157281411696474,0.32582785484849175,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.003717786314426389,0.14507693392448673,0.0
0.2,0.4143542452111927,0.0033553696169532185,0.3276361440182405,0.41134481812319457,0.001703682404161841,0.3259805586432345,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.003811257663922644,0.1450834476457692,0.0
0.21,0.41460024436552984,0.0035225567774654397,0.3278238422315161,0.41151633245782804,0.0018365252696568007,0.32613458355906083,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.003899590973711705,0.14509005682579912,0.0
0.22,0.4148460438901277,0.0036896627905950233,0.32801131096064684,0.41169189817106977,0.001971140977830763,0.32628974407054534,-0.020593769370702442,0.29082541537848855,0.2531681126044035,0.31233617720686224,-0.28999932089825015,0.36489120182839985,0.00398318277199173,0.1450967498923733,0.0
